id,word,definition,cluster,x,y,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN
2072,RAID: RAID 10 (1 + 0),a nested raid configuration that combines mirroring raid 1 and striping raid 0 across at least four disks providing the high speed of striping and the high redundancy of mirroring,58,3.3718305,3.5926495,"Degradation of the array status, though data remains accessible unless both drives in one of the mirror pairs fail.",Replace the failed physical drive; the controller will rebuild the mirror for that specific set of the stripe.,Hardware,Storage,CORE 1,HARDWARE,
2073,RAID: Hardware based,a raid implementation where a dedicated physical controller card handles all parity calculations and disk management offloading the processing burden from the computer's cpu,51,3.4041247,2.5126731,"The RAID controller card itself fails, causing the entire array to become inaccessible, even if the drives are physically healthy.","Ensure the card is seated correctly in the PCIe slot; if the card is dead, you may need to replace it with an identical model to retain access to the existing array configuration.",Hardware,Storage,CORE 1,HARDWARE,
2074,RAID: Software based,a raid implementation where the operating system os manages the disk array through its own kernel using the system's cpu for all raid-related calculations,58,3.0615754,3.0303533,High CPU utilization when performing large file transfers or system crashes if the OS driver fails.,Check the OS event logs for disk driver errors; use the built-in storage management tools (like 'Disk Management' in Windows) to view the status of the virtual volumes.,Operating Systems,Storage Management,CORE 2,,OPERATING SYSTEMS
2075,RAID: Firmware based,a raid implementation often called 'fakeraid' integrated into the motherboard's firmware bios which manages the drives before the os loads but still relies on the system cpu for operations,78,3.441322,2.7940488,Difficulty in accessing the RAID volume from within the OS if the correct RAID drivers are not installed.,Verify that the BIOS/UEFI setting is set to 'RAID' mode rather than 'AHCI'; ensure the correct chipset drivers are loaded in the OS.,Hardware,Storage,CORE 1,HARDWARE,
2076,RAID: Storage Spaces,a feature in windows that allows users to group physical drives into a single virtual pool and create storage spaces with redundancy similar to traditional raid but with more flexibility,16,2.6360934,3.6850584,"Space low' warnings or missing drives from the pool, leading to volume unavailability.","Use the 'Storage Spaces' control panel to identify the specific drive that failed; if possible, replace the drive and click 'Repair' to allow the system to redistribute the data.",Operating Systems,Storage Management,CORE 2,,OPERATING SYSTEMS
2077,RAID: Troubleshooting,the methodical process of identifying and resolving issues within a raid array ranging from physical drive failures and controller malfunctions to configuration errors and data corruption,61,2.2654061,0.13762686,"Array not detected, slow performance, or OS reporting volume errors.","Check the RAID controller interface for status indicators, verify physical cable connections, test individual drives independently to rule out drive failure, and examine system logs for error codes.",Hardware,Storage,CORE 1,HARDWARE,
2078,Rainbow tables,a precomputed table used to reverse cryptographic hash functions commonly used to crack password hashes quickly by comparing them against the computed table values,1,-4.2542324,-2.3829544,"If a system is compromised, logs might show that user account passwords were cracked with unusual speed.","The best defense is to implement 'salted' passwords, where a random string is added to the password before hashing, effectively neutralizing the effectiveness of rainbow tables.",Network Security & Access Control,Logical Security Controls,CORE 2,,SECURITY
2079,RAM (Random-Access Memory),high-speed volatile memory that stores the data and instructions the cpu is currently using for active processes,23,3.6815534,2.1620586,"System crashes, BSODs, 'Out of Memory' errors, or the computer failing to boot with a memory-related beep code.","Reseat the RAM modules, test each stick individually to identify a faulty unit, and run a memory check utility.",Hardware,Memory,CORE 1,HARDWARE,
2080,RAM: Compatibility,the requirement that installed ram modules must match the motherboard's supported architecture including ddr generation speed mhz and voltage,1,4.9706635,1.5614316,System fails to post or emits a 'memory error' beep code after a memory upgrade.,Refer to the motherboard manual or the manufacturer's website to check the Qualified Vendor List (QVL) to ensure the RAM module is compatible.,Hardware,Memory,CORE 1,HARDWARE,
2081,RAM: DDR3 modules,a generation of ram that succeeded ddr2 it operates at lower voltages and provides higher data transfer rates,1,5.3214936,1.8306609,Incompatibility issues if accidentally inserted into DDR4 or DDR5 slots (due to the physical notch being in a different location).,Verify the slot type; never attempt to force a module into a slot if it does not click in easily.,Hardware,Memory,CORE 1,HARDWARE,
2082,RAM: DDR4 modules,a generation of ram that features higher speed and capacity compared to ddr3 using a different pin layout and lower power consumption,1,5.322121,1.552834,System instability if the memory speed is set manually in the BIOS to a rate the CPU or motherboard cannot support.,Reset BIOS to default settings to let it automatically negotiate the correct XMP or JEDEC speed for the modules.,Hardware,Memory,CORE 1,HARDWARE,
2083,RAM: DDR5 modules,the latest generation of ram offering significantly higher speeds improved power management via on-module pmic and increased capacity,1,5.0416937,1.9293852,Boot failures if the motherboard BIOS is not updated to support the new DDR5 modules.,Visit the motherboard manufacturer’s website to download and flash the latest BIOS firmware to ensure compatibility.,Hardware,Memory,CORE 1,HARDWARE,
